AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,State,GDP,2347900
31T4R4OBOTTDRUXXABYP48X9YVHC7I,A2JVHE1ESSF6IQ,3OCZWXS7ZOKPLAFR9S7PKOEGPNE5LL,2014-10-28T12:33:02Z,2014-10-28T12:56:07Z,2014-10-28T13:57:15Z,Iowa,306838,
3WYP994K1847QXKXNTBMVLPW68KY6I,A31URGVCELAPBD,3L1EFR8WWTIMM577Q7H81REYENAF9G,2014-10-28T15:28:59Z,2014-10-28T15:29:17Z,2014-10-28T16:32:15Z,Iowa,165597,
3E47SOBEYR9AGEETT22MVXNICA6CIP,A3PQ0N92R472YJ,3UEBBGULPF1K6XVAOICZXN1CR8LFU8,2014-10-27T21:21:14Z,2014-10-27T21:21:20Z,2014-10-27T22:22:18Z,Washington,390918,
3IAS3U3I0GTNVO8LQZLZXXAJ5UZ2BP,A8L450UGY77XB,31KSVEGZ345U1RPOADRUW00SFC6RWD,2014-10-28T15:01:00Z,2014-10-28T15:01:14Z,2014-10-28T16:02:16Z,Hawaii,72512,
3P529IW9KZYJ9R6957P0VJ0DQSGFL7,A10443E11ZWEHJ,386T3MLZLN8VBW97IXS9YOWJOF4089,2014-10-28T14:07:29Z,2014-10-28T14:08:10Z,2014-10-28T15:12:14Z,Texas,1397000,
3W2LOLRXLCS5SBT0B2DTX81H4GCRK1,A2C7EF24WOLC,3HEADTGN2P5HM2PJK3MYAYHE834RV3,2014-10-28T05:10:49Z,2014-10-28T05:11:05Z,2014-10-28T06:12:15Z,Illinois,704138,
33TIN5LC05NU8GMVL0EYFVGYW8E9YO,A3US3R22I0W1QE,3ZXV7Q5FJB1OK3EA2RRZ3HF6K8DCFU,2014-10-28T03:57:25Z,2014-10-28T04:02:48Z,2014-10-28T05:07:14Z,New Hampshire,58200,
3HMVI3QICK5CJBJ0HNZ50PYFYX3Y1J,A1UOE2L1FXNFET,362E9TQF2H3LB6W55LT3W5DDYSYIG2,2014-10-28T15:02:55Z,2014-10-28T15:03:07Z,2014-10-28T16:07:15Z,Indiana,306838,
3Z7EFSHGNAR7693OSO2NY7AX0NEXCE,A1JP58Y4XAT7EU,3R16PJFTS34W5LT9ANCE0WVN0RDK4R,2014-10-28T00:00:11Z,2014-10-28T00:06:00Z,2014-10-28T01:07:15Z,Ohio,551881,
3Z7VU45IPZUCO1T5D91OEW7H4QUZ1W,A1Q3HCUK56CQY1,329E6HTMSWFBNPA5A97VQR3HMRHK36,2014-10-28T04:31:48Z,2014-10-28T04:32:18Z,2014-10-28T05:37:14Z,Michigan,349000,
3DQQ64TANHYBBY72NOS7GOVXQ4EPWI,A19PATBI3SQNU0,3FBEFUUYRKI48VO1HKS43GC5R6QA6O,2014-10-27T19:49:03Z,2014-10-27T19:50:18Z,2014-10-27T20:52:15Z,Minnesota,323912,
3NJM2BJS4XJ2X01X6XS64UOUYPRPC6,A8L450UGY77XB,3ZUE82NE0AEM80OXLFBU1VJNUHSF8R,2014-10-28T14:47:28Z,2014-10-28T14:47:45Z,2014-10-28T15:52:14Z,Rhode Island,51566,
32KTQ2V7RESUEZXH2XQNL0TRNZ1M9E,A2C7EF24WOLC,3JTPR5MTZSPE14X9OSVO5O110N95KI,2014-10-28T05:07:35Z,2014-10-28T05:07:56Z,2014-10-28T06:12:14Z,Arizona,271503,
3COPXFW7XCPKGYDLYA94SD123XFKPR,A20NGV3YRBQT5W,3IKMEYR0LW8M27EM69TQ7HYPGDHK2V,2014-10-27T23:48:05Z,2014-10-27T23:48:40Z,2014-10-28T00:52:14Z,Florida,842091,
36TFCYNS45NYNHE4EGGO9Y7DDFBXHF,A19PATBI3SQNU0,36U4VBVNQOQH9N0JFDCTECFVUWVRUE,2014-10-27T20:01:45Z,2014-10-27T20:02:08Z,2014-10-27T21:02:15Z,Kansas,149367,
338JKRMM27CMR46B36OAPQWFCVKHAF,A2C7EF24WOLC,33Q5P9PUSPZUPK5A33L669VOWD8CZJ,2014-10-28T05:16:52Z,2014-10-28T05:17:10Z,2014-10-28T06:17:15Z,New York,1280737,
3R08VXYT7D8M5S32R2YQG24CQAJ7W4,A1JP58Y4XAT7EU,3H1C3QRA01WWEPEE7G7TLZU687YCEC,2014-10-28T00:32:10Z,2014-10-28T00:32:53Z,2014-10-28T01:37:15Z,Oregon,217228,
3T111IHZ5F3LBFA975M47ZN1TM8R9F,A2JVHE1ESSF6IQ,3AJA9FLWSCBFX60AU1NLEKD1XDYIF3,2014-10-28T12:55:23Z,2014-10-28T12:55:39Z,2014-10-28T13:57:15Z,Indiana,306838,
37Z929RLGALGW9J0K0RQO9T99UDSTL,A20NGV3YRBQT5W,3RZS0FBRWKN0BG34GUN4FBTAME0PCA,2014-10-27T23:50:15Z,2014-10-27T23:50:38Z,2014-10-28T00:52:14Z,Montana,45983,
3TAYZSBPLMLMCAPN1L7UNMKJ9H3S2W,A218W8G3SYFPGI,3ZG552ORAMH0II8Y5D7X9Q96WBOV2S,2014-10-28T02:20:10Z,2014-10-28T02:21:03Z,2014-10-28T03:22:14Z,California,1958904,
3570Y55XZQW9NQ93Z6K87C2L0LVYGQ,A3PQ0N92R472YJ,3A9LA2FRWSRW1XGBODBMKFCT15EXHF,2014-10-27T21:15:04Z,2014-10-27T21:15:14Z,2014-10-27T22:17:15Z,Arizona,271503,
3C8HJ7UOP879KQFU6VKMYOVK22YMZ2,A2JVHE1ESSF6IQ,3R5LWXWHR0LI11L047T4ZF0SM51XGG,2014-10-28T12:33:25Z,2014-10-28T13:01:34Z,2014-10-28T14:02:14Z,Missouri,269356,
