AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,Answer.company,Answer.employees
3YGXWBAF71UG87FE8D0I1WDZHQQ4CT,A2I159VITLD19Y,3SV8KD29L45C8IHYVG24US8X89YZKJ,Fri Jun 05 03:50:19 PDT 2015,Fri Jun 05 03:50:31 PDT 2015,Fri Jun 05 04:35:18 PDT 2015,Zynga,1974
30MVJZJNHNQ4DRRWZ0DV581AT1C9J5,A3CC9BWPLAR31J,33EEIIWHK7KHA1AJ7OXY587AJ3SQV8,Thu Jun 04 16:49:17 PDT 2015,Thu Jun 04 16:50:18 PDT 2015,2015-06-05 00:52:46 UTC,Zhone Technologies  Inc,277
3NPFYT4IZDHKNLJTUAY6OYVC8DOGXV,A2I159VITLD19Y,3HXCEECSQM67SN6FZV3V30N86O7YZD,Fri Jun 05 04:10:41 PDT 2015,Fri Jun 05 04:10:56 PDT 2015,Fri Jun 05 04:36:00 PDT 2015,Zeltiq Aesthetics,408
339ANSOTR6FSZCQHLFJKJG0QRH3KI4,A3N6Z886JPK4BG,3QHITW7OYOMXID7LWT629LTXYUKAQM,Fri Jun 05 04:46:06 PDT 2015,Fri Jun 05 04:59:15 PDT 2015,2015-06-05 13:02:41 UTC,Zebra Technologies Corp.,6800
3V26SBZTBER9JXEDLKAG6QRTR3HZZ1,A1XOXGWBAN6HEJ,3BDORL6HKKQLNTJJTMRTK6TQUJ7CRR,Fri Jun 05 04:48:03 PDT 2015,Fri Jun 05 05:34:29 PDT 2015,2015-06-05 13:37:38 UTC,Zebra Technologies Corp.,6800
38YMOXR4MVC31SPX8STYAO4G5XGW6H,A2I159VITLD19Y,36BTXXLZ2VLISP6407LB18H226Q4R6,Fri Jun 05 04:35:30 PDT 2015,Fri Jun 05 04:35:37 PDT 2015,Fri Jun 05 04:37:39 PDT 2015,Zapproved,27
36DSNE9QZ6B7KEV21PWD2YWZO10JOX,A2I159VITLD19Y,3OQQD2WO8IJKHUKHA6MJDBO51ABI3V,Fri Jun 05 04:10:31 PDT 2015,Fri Jun 05 04:10:41 PDT 2015,Fri Jun 05 04:36:07 PDT 2015,YuMe,531
3M23Y66PO3KAUB8OONJXDZ1VZKIS6W,A2I159VITLD19Y,3AC6MFV69KVL6SGQPVZ7H0S5GSVHZY,Fri Jun 05 03:57:32 PDT 2015,Fri Jun 05 03:57:41 PDT 2015,Fri Jun 05 04:37:43 PDT 2015,Yelp,2711
3HWRJOOET6FE7Q13U52VPNT8GGYSE5,A2QVMCGDLTWV9,36GJS3V78V3H6HGBN3E386SEITDGJJ,Thu Jun 04 14:20:11 PDT 2015,Thu Jun 04 14:21:03 PDT 2015,Thu Jun 04 14:41:48 PDT 2015,Yahoo! Inc.,12500
3V0Z7YWSIZD2426RVGCZY94QII4V2F,A3RUUTINBKU8YE,38Z7YZ2SB3FCOVQJ8HYFQJHGB1WQIB,Thu Jun 04 15:27:04 PDT 2015,Thu Jun 04 15:38:17 PDT 2015,2015-06-04 23:43:11 UTC,Yahoo! Inc.,12500
