AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,State,GDP
32ZKVD547G0CG644UZZ4G7FBII33BW,APLQSM4J9E6LR,3UDTAB6HH6CVP1SHNPYNYKRUD2Z09E,Sun Apr 19 02:26:23 PDT 2015,Sun Apr 19 02:26:38 PDT 2015,2015-04-19 10:27:39 UTC,New Jersey,474936.00
3CN4LGXD5Y1TBAGJ45I7YN5IHNTY4V,AGMJCJ660ULYJ,3UDTAB6HH6CVP1SHNPYNYKRUD2Z09E,Fri Apr 17 08:34:23 PDT 2015,Fri Apr 17 08:35:26 PDT 2015,2015-04-17 16:37:37 UTC,New York,1350286.00
3FE7TXL1LJ0AZUAA9HIPSM5IY4ZQ2F,ANB51V4Y2O7FR,3UDTAB6HH6CVP1SHNPYNYKRUD2Z09E,Sat Apr 18 23:02:19 PDT 2015,Sat Apr 18 23:02:38 PDT 2015,2015-04-19 07:07:36 UTC,Oregon,161573.00
3I3WADAZ9RHZDFGHCNSJ1ODU36H5OI,AYALPYEQ512PP,3UDTAB6HH6CVP1SHNPYNYKRUD2Z09E,Thu Apr 16 11:44:58 PDT 2015,Thu Apr 16 11:45:30 PDT 2015,2015-04-16 19:47:38 UTC,New Mexico,84460.00
3JC6VJ2SACWABBMG24N10TTPEWY5AI,AU3WQKISBW5MZ,3UDTAB6HH6CVP1SHNPYNYKRUD2Z09E,Sat Apr 18 20:59:11 PDT 2015,Sat Apr 18 20:59:53 PDT 2015,2015-04-19 05:02:36 UTC,Virginia,0.40
3OS46CRSLGCQM3PSIIO2OML2V2PV66,ARO1UXSXU5QLI,3UDTAB6HH6CVP1SHNPYNYKRUD2Z09E,Sun Apr 19 22:35:55 PDT 2015,Sun Apr 19 22:36:33 PDT 2015,2015-04-20 06:37:37 UTC,Hawaii,63847.00
3OSWBBLG1FAHB192SKXYIDSFSZLDXK,A2T2D6DDA5X5DZ,3UDTAB6HH6CVP1SHNPYNYKRUD2Z09E,Mon Apr 20 01:03:03 PDT 2015,Mon Apr 20 01:03:45 PDT 2015,2015-04-20 09:07:39 UTC,Utah,109777.00
3YHH42UU5CSSCNRJ2P6FSCD9RT6L01,A3GMFXM51U4KCN,3UDTAB6HH6CVP1SHNPYNYKRUD2Z09E,Thu Apr 16 14:32:02 PDT 2015,Thu Apr 16 14:32:35 PDT 2015,2015-04-16 22:32:38 UTC,Arizona,261.13
3YMTUJH0DTTXUOHPUZV8Q6D32NZT4T,A37SZ84T6GDN7T,3UDTAB6HH6CVP1SHNPYNYKRUD2Z09E,Fri Apr 17 23:14:55 PDT 2015,Fri Apr 17 23:15:43 PDT 2015,2015-04-18 07:17:36 UTC,Texas,1223511.00
30H4UDGLT3VF6MDOJMMK7QT6ZESMPB,A1SJLWZAOXF1P3,3JUDR1D0D648DACHJEDN33AYK0N2QM,Sun Apr 19 13:06:03 PDT 2015,Sun Apr 19 13:07:45 PDT 2015,2015-04-19 21:12:38 UTC,California,2290000000000.00
33M4IA01QHEBCBS7ALSIN29J70AXR8,ARO1UXSXU5QLI,3JUDR1D0D648DACHJEDN33AYK0N2QM,Sun Apr 19 21:47:07 PDT 2015,Sun Apr 19 21:47:45 PDT 2015,2015-04-20 05:52:36 UTC,Nebraska,83273.00
351SEKWQS1U6HPAYEDVP7WCHLNYMDQ,AYALPYEQ512PP,3JUDR1D0D648DACHJEDN33AYK0N2QM,Thu Apr 16 11:08:07 PDT 2015,Thu Apr 16 11:08:40 PDT 2015,2015-04-16 19:12:39 UTC,North Dakota,31208.00
35DR22AR5EXJT975ZVRM54631MWX36,A2T2D6DDA5X5DZ,3JUDR1D0D648DACHJEDN33AYK0N2QM,Mon Apr 20 01:08:14 PDT 2015,Mon Apr 20 01:08:49 PDT 2015,2015-04-20 09:12:39 UTC,New Mexico,79901.00
3ERET4BTVNMZOBXEHLD76N1N54M9K3,APLQSM4J9E6LR,3JUDR1D0D648DACHJEDN33AYK0N2QM,Sun Apr 19 02:38:25 PDT 2015,Sun Apr 19 02:38:45 PDT 2015,2015-04-19 10:42:37 UTC,Nevada,131233.00
3J88R45B2HBQ0YCSXTOTI7946G1XPR,AHBD716JZ2RDG,3JUDR1D0D648DACHJEDN33AYK0N2QM,Sat Apr 18 19:04:58 PDT 2015,Sat Apr 18 19:05:10 PDT 2015,2015-04-19 03:07:39 UTC,Wyoming,38853.00
