AssignmentId,HITId,WorkerId,AcceptTime,SubmitTime,ApprovalTime,Answer.state,Answer.gdp
3M0BCWMB8W99746S4JA6L4Q8GKVBWQ,3GKAWYFRAP6AG89IGQIFZHBSC5DDPM,A1C2X7GXX7Z6FE,Thu Apr 23 13:39:35 PDT 2015,Thu Apr 23 13:39:52 PDT 2015,2015-04-23 21:42:43 UTC,Wyoming,35310.00
3DI28L7YXBRED629HMNBTM6ZN8AE1D,3OID399FXGKYPVKO2NMANNXOAZPFDK,A3IDJZM7H7WRU7,Sat Apr 25 20:19:31 PDT 2015,Sat Apr 25 20:19:41 PDT 2015,2015-04-26 04:22:37 UTC,Wyoming,35310.00
3QRYMNZ7FZUJGWRVC4A4PFJ3TH1TNL,3OID399FXGKYPVKO2NMANNXOAZPFDK,ALDKDKRBR4LXD,Fri Apr 24 20:15:01 PDT 2015,Fri Apr 24 20:16:26 PDT 2015,2015-04-25 04:17:37 UTC,Wyoming,43700.00
3VBEN272MLCCR4XU00SJPQEKQLGSG0,3BO3NEOQM0UK1FJ2JL1T0J2A5OKAI4,A3VOV4F5L8131I,Fri Apr 24 02:17:29 PDT 2015,Fri Apr 24 02:17:48 PDT 2015,2015-04-24 10:22:38 UTC,Wyoming,37544.00
3AQF3RZ559V1Q632I3JY60IG7HT6F3,33TGB4G0LPUM6676O7SBYYFHHQ9XTC,A1EVP0WFE4VLH9,Fri Apr 24 06:45:18 PDT 2015,Fri Apr 24 06:45:57 PDT 2015,2015-04-24 14:47:38 UTC,Wyoming,35310.00
39GHHAVOMG43GLLKI5H4O0QU4ZSJ4Q,3VDI8GSXAF6SM0KSWZHCJGJZ0NT8G7,A1MW021IG07IMF,Fri Apr 24 23:25:49 PDT 2015,Fri Apr 24 23:26:04 PDT 2015,2015-04-25 07:27:41 UTC,Wyoming,35310.00
34T446B1C1RZ9JXDPCDGPTNMX55C0V,3AA88CN98PGC3S7TZU0LGLZU0JCKYZ,AOCZ2532BJZF3,Sun Apr 26 06:58:57 PDT 2015,Sun Apr 26 06:59:22 PDT 2015,2015-04-26 15:02:40 UTC,Wyoming,31434.00
3FFJ6VRIL21QMMJDHM920WLHA2B0IR,3AA88CN98PGC3S7TZU0LGLZU0JCKYZ,ANB51V4Y2O7FR,Wed Apr 22 17:31:54 PDT 2015,Wed Apr 22 17:32:18 PDT 2015,2015-04-23 01:32:37 UTC,Wyoming,35310.00
33C7UALJVMBX45SI4J1B1CADC0P81B,30P8I9JKOIYSHFRLNW9V7XCILCG5VR,A2CGIO3YQYJ92M,Thu Apr 23 00:31:58 PDT 2015,Thu Apr 23 00:32:11 PDT 2015,2015-04-23 08:32:37 UTC,Wyoming,0.04
37Q970SNZFLFNP7RIH7GI3AEOZW1SE,3OREP8RUT2OBOYIZZB1MAI908TEGBE,A1PX3VHCGYY0XS,Sat Apr 25 11:41:24 PDT 2015,Sat Apr 25 11:41:38 PDT 2015,2015-04-25 19:42:38 UTC,Wyoming,57.45
3NVC2EB65RC8TEXF4RDOOIDC30W3Y4,3RZS0FBRWKN0BG34GUN4FBTAR50CPK,A2KNE9E89YLQ3A,Thu Apr 23 18:43:44 PDT 2015,Thu Apr 23 18:43:53 PDT 2015,2015-04-24 02:47:38 UTC,Wyoming,35.31
3DEL4X4EL7YK9C4TOGKCVY2GA0NXYY,3VO4XFFP15ZFZB9NPQUIZUR6VQVQ7W,A39YPFUJEDE08X,Sun Apr 26 13:08:53 PDT 2015,Sun Apr 26 13:09:33 PDT 2015,2015-04-26 21:12:37 UTC,Wyoming,35.31
