AssignmentId,HITId,WorkerId,AcceptTime,SubmitTime,ApprovalTime,Answer.state,value
30JNVC0ORAXEEKDSS2LWFQBKO7BHQN,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,A3T5KRA1IDHS4I,Thu Apr 30 06:38:22 PDT 2015,Thu Apr 30 06:38:42 PDT 2015,2015-04-30 14:42:37 UTC,Mississippi,0
31LVTDXBL8NGCHBIW2PUC8EW077LRD,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,AVIC8K2F2HGPW,Tue Apr 28 17:25:39 PDT 2015,Tue Apr 28 17:25:49 PDT 2015,2015-04-29 01:27:38 UTC,Utah,0
34QN5IT0T04XXG7080XBN7R37JC08F,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,A3HK8ARXKRHVAD,Thu Apr 30 00:21:10 PDT 2015,Thu Apr 30 00:21:38 PDT 2015,2015-04-30 08:22:38 UTC,Vermont,0
3E13VNJ1NO8QTB4VD5D2E14RF66I1P,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,A259GEK5AHGM13,Wed Apr 29 05:09:50 PDT 2015,Wed Apr 29 05:11:06 PDT 2015,2015-04-29 13:12:39 UTC,Vermont,0
3H7XDTSHKD45YLE3K52KMFH5W74GWD,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,A2A2W9PT9GZ477,Thu Apr 30 00:38:27 PDT 2015,Thu Apr 30 00:38:56 PDT 2015,2015-04-30 08:42:36 UTC,Pennsylvania,0
3JPSL1DZ5TCE10SM64JNUATB5Y3ANG,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,A1R0689JPSQ3OF,Tue Apr 28 11:34:33 PDT 2015,Tue Apr 28 11:35:06 PDT 2015,2015-04-28 19:37:54 UTC,Rhode Island,0
3KMS4QQVK338PLORK7DZGJNY8LUKFL,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,AT9BUFLGIP9Z5,Thu Apr 30 00:17:23 PDT 2015,Thu Apr 30 00:17:35 PDT 2015,2015-04-30 08:17:38 UTC,West Virginia,0
3NJM2BJS4XJ2X01X6XS64UOU5HDCP6,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,A2HPFQL0QFGBCS,Wed Apr 29 13:12:26 PDT 2015,Wed Apr 29 13:12:51 PDT 2015,2015-04-29 21:17:36 UTC,Delaware,0
3O7L7BFSHF2PDCY7PT8HLLNL4F0EIU,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,APLQSM4J9E6LR,Tue Apr 28 23:44:11 PDT 2015,Tue Apr 28 23:44:32 PDT 2015,2015-04-29 07:47:38 UTC,New Jersey,0
3WRFBPLXRB1EHFT1XP4D72F50R63NF,3JMQI2OLFZIADNX50B5NVS6XCZBNDH,A13STUE0VL42FA,Thu Apr 30 06:27:14 PDT 2015,Thu Apr 30 06:27:28 PDT 2015,2015-04-30 14:27:38 UTC,Idaho,0
34BBWHLWHBOJUCKYAT2N7RULBKWIW7,3MQKOF1EE2100H6JSCWARBJO5BEWDG,AT9BUFLGIP9Z5,Thu Apr 30 00:32:28 PDT 2015,Thu Apr 30 00:32:44 PDT 2015,2015-04-30 08:37:36 UTC,Colorado,0
34MAJL3QP50SV7JVFKPH8T9588943E,3MQKOF1EE2100H6JSCWARBJO5BEWDG,APLQSM4J9E6LR,Tue Apr 28 23:45:51 PDT 2015,Tue Apr 28 23:57:54 PDT 2015,2015-04-29 08:02:38 UTC,New Jersey,0
37M28K1J0RQIIA11R6RV13CUWGHJA8,3MQKOF1EE2100H6JSCWARBJO5BEWDG,A2A2W9PT9GZ477,Wed Apr 29 23:57:25 PDT 2015,Wed Apr 29 23:58:10 PDT 2015,2015-04-30 08:02:36 UTC,Nebraska,0
3D3VGR7TA1SZWDLTQWLUGMKF1OY3R6,3MQKOF1EE2100H6JSCWARBJO5BEWDG,AW0QDI257BN65,Thu Apr 30 07:46:22 PDT 2015,Thu Apr 30 07:46:33 PDT 2015,2015-04-30 15:47:37 UTC,Arizona,0
3EF8EXOTT28MOMO1VNY2Q2JRTNPJ11,3MQKOF1EE2100H6JSCWARBJO5BEWDG,A35FPE0929YLKR,Thu Apr 30 07:59:54 PDT 2015,Thu Apr 30 08:00:07 PDT 2015,2015-04-30 16:02:37 UTC,Connecticut,0
