AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,Answer.company,Answer.revenue
3GA6AFUKOP1M7J7QUR902II9ETYH3D,A35AG28CQTZVMS,3PA41K45VNHUZZ88PDFTZP1WRHCP7I,Sat May 09 13:47:12 PDT 2015,Sat May 09 13:48:07 PDT 2015,2015-05-09 21:52:37 UTC,8x8  Inc.,128.6
33NF62TLXKFOUNAN3X4KVHFQ27MKJU,A2T2D6DDA5X5DZ,3B9XR6P1WE8LF0807HMP7V1G18WJBX,Sat May 09 13:05:11 PDT 2015,Sat May 09 13:05:37 PDT 2015,2015-05-09 21:07:38 UTC,8x8  Inc.,128
3XCC1ODXDMOR3ERVO7XQTUDQBU9RQM,A35AG28CQTZVMS,37VUR2VJ6A2XUOK2VSCEEFBCPCXC1U,Sat May 09 14:06:18 PDT 2015,Sat May 09 14:07:53 PDT 2015,2015-05-09 22:12:38 UTC,A10 Networks,179.51
3STRJBFXOX4I8Q6SFRIOXN2Z09BTK6,A28OHQUT69VJ0S,3LN50BUKPVOTEKXAT7G3IUJXM1GLPM,Sat May 09 12:16:31 PDT 2015,Sat May 09 12:19:32 PDT 2015,2015-05-09 20:22:36 UTC,A10 Networks,179.51
3QEMNNSB2YCNWM3BA7T0OEFRR3N7DV,A285F2F2D081JH,3P0I4CQYVYKR4EX8ILAQ25VNA3OWO9,Sat May 09 11:56:30 PDT 2015,Sat May 09 12:00:31 PDT 2015,2015-05-09 20:02:37 UTC,Abaxis,179.78
3DL65MZB8ESY09C7XJCVAIPQSQHCEO,A28OHQUT69VJ0S,3TFJJUELSH24J92YEWCSJYLHHIB2C1,Sat May 09 12:58:21 PDT 2015,Sat May 09 12:59:42 PDT 2015,2015-05-09 21:02:37 UTC,Abaxis,171.87
3EQHHY4HQT5BL2ZJO4FBWF4SDP95GP,A285F2F2D081JH,3LEG2HW4UF0BMLM85Y2TR46KEV3F2P,Sat May 09 12:00:31 PDT 2015,Sat May 09 12:01:08 PDT 2015,2015-05-09 20:02:37 UTC,Accuray Incorporated,369.42
3RU7GD8VPP6I4HQT3JI6JZSCS07PSI,A28OHQUT69VJ0S,3BJKPTD2QCP29ALUF8MJ9GTTHWQTRP,Sat May 09 13:52:30 PDT 2015,Sat May 09 13:53:42 PDT 2015,2015-05-09 21:57:39 UTC,Accuray Incorporated,369.42
3E337GFOLALFBR5PS4BXQW4E4ACGNT,A35AG28CQTZVMS,3MJ9GGZYO3JGQU50UIG1D3VTHFQ2AZ,Sat May 09 14:12:08 PDT 2015,Sat May 09 14:12:51 PDT 2015,2015-05-09 22:17:38 UTC,Accuray Incorporated,369.42
3D8YOU6S9FXQ9O0SDSEXS0JJISYU6T,AM0KMTKJ9VEFP,3BDORL6HKKQLNTJJTMRTK6TPTARCRQ,Sat May 09 12:26:05 PDT 2015,Sat May 09 12:29:50 PDT 2015,2015-05-09 20:32:38 UTC,ActivIdentity Part of HID Global  an ASSA ABLOY Group Brand,15
36PW28KO409A7UF9D5G44NZ2SNUAEI,A285F2F2D081JH,3XDSWAMB225LBS4JG72TFGJKXOPCQP,Sat May 09 12:01:08 PDT 2015,Sat May 09 12:01:45 PDT 2015,2015-05-09 20:02:37 UTC,Actuate,134.52
3WETL7AQWULARQNVTP8RDLFJ9K635H,A2T2D6DDA5X5DZ,3IZPORCT1FMC41UZFE5UVXQ562WHR4,Sat May 09 13:05:59 PDT 2015,Sat May 09 13:09:48 PDT 2015,2015-05-09 21:12:39 UTC,Actuate,134.52
3IQ1VMJRYUXTCYOS5U0IC9YR1QFA99,A1V0NUMA2VA07M,30U1YOGZGA97T0PA87M9UMG30CLDSE,Sat May 09 12:46:23 PDT 2015,Sat May 09 12:47:09 PDT 2015,2015-05-09 20:47:37 UTC,Adac Laboratories Inc,44.4
3S4AW7T80CV9BB9KLQTH4F3M9A2L48,AM0KMTKJ9VEFP,335HHSX8CDII3RBUXDAAQ891R15HDY,Sat May 09 13:38:39 PDT 2015,Sat May 09 13:39:10 PDT 2015,2015-05-09 21:42:38 UTC,Adobe Systems,4256
3ATPCQ38J9N8DZW0D6SYBQRIAZ1YAN,A1NV8QXI4FEWWS,3ZZAYRN1I64ZCXTENG5FFLOO696TOG,Sat May 09 13:12:24 PDT 2015,Sat May 09 13:13:14 PDT 2015,2015-05-09 21:17:37 UTC,Adobe Systems,4256
3MRNMEIQW6JMB7SDE1UA7JXSMNSLDI,A285F2F2D081JH,3IWA71V4TITG48WUSUKINON3Y50X6E,Sat May 09 12:02:10 PDT 2015,Sat May 09 12:03:07 PDT 2015,2015-05-09 20:07:37 UTC,Adobe Systems,4256
3YW4XOSQKRYV22ZV7M2GX4S2AHKU1X,A35AG28CQTZVMS,3PKJ68EHDN9V6DBM79WLT64EWL2HJC,Sat May 09 13:22:20 PDT 2015,Sat May 09 13:23:35 PDT 2015,2015-05-09 21:27:38 UTC,Adobe Systems,4256
3I02618YA1JYJUIXSOD6Y0A0DXPPUV,A185RLALVDARY9,3CRWSLD91KHVZ23UEJ43T7TWC1AOMA,Sat May 09 12:28:40 PDT 2015,Sat May 09 12:29:19 PDT 2015,,Adobe Systems,4256
3WEV0KO0ON59FKN3YARBJ5BNEH1SD4,A2T2D6DDA5X5DZ,34ZTTGSNJX1CS0FZ2ZGUQ7G0AGUHQ3,Sat May 09 12:27:27 PDT 2015,Sat May 09 12:30:40 PDT 2015,2015-05-09 20:32:38 UTC,Adobe Systems,4256
3R2PKQ87NXLNP0QK6RW0YTSUEXRIMK,A3CWYWKQXX4RIZ,30IRMPJWDZW36RV7LZ8R8P6XYJZRKH,Sat May 09 12:43:13 PDT 2015,Sat May 09 12:44:30 PDT 2015,2015-05-09 20:47:37 UTC,Adobe Systems,4256
3NPFYT4IZDHKNLJTUAY6OYVC6OLGXC,AJNGIUBDXULG6,3O2Y2UIUCQ7631QYU48XR0SEVVPKFG,Sat May 09 13:14:27 PDT 2015,Sat May 09 13:15:49 PDT 2015,2015-05-09 21:17:39 UTC,Adobe Systems,4256
