AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,Company,Revenue
37QW5D2ZRHZXYPRCH2GVXDXM3PJ8SR,A1XPLNE3RSG6,3QGHA0EA0JD7LK8ZEG54WLVO33EBWR,Fri May 08 19:00:55 PDT 2015,Fri May 08 19:01:53 PDT 2015,Fri May 08 19:05:15 PDT 2015,A10 Networks,179.5
35GCEFQ6I618Y47K0DF72PMEAIT3Z1,A2KNE9E89YLQ3A,3EQPA8A3749HXYBGDV2STD8JSARJZA,Fri May 08 20:04:48 PDT 2015,Fri May 08 20:06:20 PDT 2015,2015-05-09 04:07:38 UTC,Abaxis,179.78
3D4CH1LGEB6UMP1VRUSS8V9UZKA9G0,A2KNE9E89YLQ3A,3TY2U1TEB7NRXJ6CV9Z65JKT9CEJJP,Fri May 08 20:34:28 PDT 2015,Fri May 08 20:34:34 PDT 2015,2015-05-09 04:37:38 UTC,Accuray,326
3E7TUJ2EGDZRA5R4P4RK2A6XMSR9DN,A1T71UAY8IRUJ6,3M4KL7H8KV08E7B1L1ZBSFJ2TPU16X,Fri May 08 19:10:15 PDT 2015,Fri May 08 19:10:34 PDT 2015,2015-05-09 03:12:38 UTC,Actuate,134.6
39K0FND3AIS8JI7MU34NHV4B1O2AMM,AYALPYEQ512PP,3OREP8RUT2OBOYIZZB1MAI909FNGBW,Fri May 08 19:56:26 PDT 2015,Fri May 08 19:57:13 PDT 2015,2015-05-09 03:57:37 UTC,Actuate,134.6
33ISQZVXPQZJ3BST1S60KUPN7DLCCA,A3STVJG6VL4D44,3566S7OX5DWRI7P64B43YTJYO0E17W,Fri May 08 20:35:18 PDT 2015,Fri May 08 20:41:38 PDT 2015,2015-05-09 04:42:37 UTC,Adobe Systems,4055.24
3YOH7BII0AKXLIAHKMI3Y5QKXT9KVT,A2KNE9E89YLQ3A,3P888QFVX37MKH1M6CBKAGD1M1FQO5,Fri May 08 20:21:56 PDT 2015,Fri May 08 20:22:04 PDT 2015,2015-05-09 04:22:39 UTC,Adobe Systems,4055.24
3FDJT1UU75LGNOV2EV0QU7WLK54K5J,AYALPYEQ512PP,32CXT5U14GGBRILNG46TNVKQAHI8UQ,Fri May 08 18:39:39 PDT 2015,Fri May 08 18:46:05 PDT 2015,Fri May 08 19:05:03 PDT 2015,Adobe Systems,4055.24
3NKQQ8O39ZIPUXF7NFMBY6TBZDZDUG,A26SHB9C0CIVSY,382GHPVPHS4Q9NL2PHKFJAELVI2437,Fri May 08 18:31:12 PDT 2015,Fri May 08 18:45:03 PDT 2015,Fri May 08 19:05:07 PDT 2015,Adobe Systems,4055.24
33SA9F9TRY77E7ICEACWMCWTK5CWES,A3HIFDO7YUSB2R,3UQ1LLR26ALMRGR84OY6SZU2NEOLAC,Fri May 08 19:04:40 PDT 2015,Fri May 08 19:08:12 PDT 2015,2015-05-09 03:12:37 UTC,Adobe Systems,4055.24
