AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,Answer.company,Answer.revenue
352YTHGROWQ7PFQUU5EJCNAFJVB4HX,AS6EZX1BM0WAK,3MJ28H2Y1ELXRVIOMKNHC5IAK6Z5OA,Sun Oct 12 16:06:16 GMT 2014,Wed Oct 08 00:07:45 GMT 2014,2014/10/08 01:12:21 +0000,1 Soltech Inc,10
3ON104KXQL9PM5LJP40JDQK2YJWW4X,A274EEXO989AJB,3ZUE82NE0AEM80OXLFBU1VJNUV98FT,Sun Oct 12 18:12:20 GMT 2014,Wed Oct 08 02:24:42 GMT 2014,2014/10/08 03:27:14 +0000,1 Soltech Inc,10
35GMH2SV3FUZ9Y9ANOLM5IJ786ROEJ,A24RVO8YUI4LKI,3D5G8J4N5AHU2H2BOSRTADIWW2IVTT,Sun Oct 12 18:02:53 GMT 2014,Wed Oct 08 02:31:38 GMT 2014,2014/10/08 03:32:14 +0000,1 Soltech Inc,10
3RSDURM96BZB3CDCTBUK79H9MMVYEL,A2ZTBK9OT3QHW6,3CZH926SICRTJL1ZE11B21IIG8XE49,Sat Oct 11 04:17:05 GMT 2014,Sun Oct 12 10:52:39 GMT 2014,2014/10/12 11:57:14 +0000,1 Soltech Inc,10
37U1UTWH9WZLXARZ2DGQ73SQ8TKR89,APU0XUISYU6GI,3UQVX1UPFSUKPH7I2GJ8OXJG2TS02E,Sun Oct 12 03:25:36 GMT 2014,Thu Oct 09 19:32:58 GMT 2014,2014/10/09 20:37:14 +0000,1 Soltech Inc,10
3I02618YA1JYJUIXSOD6Y0A0406UPE,A1U7AAKEZ4YXZD,32PT7WK7DMS39J4VISL8ME8R2W23DM,Fri Oct 10 13:48:48 GMT 2014,Wed Oct 08 13:35:52 GMT 2014,2014/10/08 14:37:14 +0000,1 Soltech Inc,10
3YHH42UU5CSSCNRJ2P6FSCD9J0DL0E,A278D29BQSFW1G,3HA5ODM5KA5TNHPWZSM308MAUJ4SV1,Sun Oct 12 03:34:52 GMT 2014,Wed Oct 08 02:34:27 GMT 2014,2014/10/08 03:37:14 +0000,1 Soltech Inc,10
3H8DHMCCWAOBR1AVT1I9SJKDOQEDKV,A2SQ45EXE0767I,37ZQELHEQ0BDHH3ID44QEITRGRKNM3,Sun Oct 12 18:02:36 GMT 2014,Wed Oct 08 17:13:32 GMT 2014,2014/10/08 18:17:20 +0000,1 Soltech Inc,10
3WS1NTTKEZP6CVHNGE3HXZ8PM5T0FS,AB8XECKH1JO8P,39RRBHZ0AUEQOTBAUKGBW1JDHY3ZVC,Fri Oct 10 13:32:07 GMT 2014,Wed Oct 08 19:43:47 GMT 2014,2014/10/08 20:47:14 +0000,3G Studios,10.5
37Q970SNZFLFNP7RIH7GI3AEGSW1SS,A2ZTBK9OT3QHW6,36818Z1KV3Q5BC1JYIU6WD0LHT4A3Q,Sun Oct 12 19:45:21 GMT 2014,Sun Oct 12 10:55:15 GMT 2014,2014/10/12 11:57:14 +0000,3t Associates,0.2
3TAYZSBPLMLMCAPN1L7UNMKJ8TTS29,A1U7AAKEZ4YXZD,31ANT7FQN8FNZEW1I7SRSWL98KL5HM,Tue Oct 07 19:28:19 GMT 2014,Wed Oct 08 13:36:47 GMT 2014,2014/10/08 14:37:14 +0000,3t Associates,0.2
3HHRAGRYX9IIE2ITFD50D4IWHF99O4,A1R2ANI8OKY0N7,3UOMW19E6DJWI6LLWFEQH5OTVSG5CD,Sun Oct 12 18:07:03 GMT 2014,Mon Oct 13 12:29:13 GMT 2014,2014/10/13 13:32:15 +0000,ACCESS SOLAR LIMITED,0.49
373ERPL3YPL4VUJN5BRLYZODM3YRTL,A24RVO8YUI4LKI,37NXA7GVSTJ6J4U6FJP2OM8F2PWVLQ,Sun Oct 12 03:21:34 GMT 2014,Wed Oct 08 02:34:28 GMT 2014,2014/10/08 03:37:14 +0000,Advance Power Inc.,0.876
39OWYR0EPL439QD8OMEQPR29YH6FY4,A24RVO8YUI4LKI,33Q5P9PUSPZUPK5A33L669VOWROCZR,Fri Oct 10 13:57:36 GMT 2014,Wed Oct 08 02:36:05 GMT 2014,2014/10/08 03:37:15 +0000,Advanced Solar Photonics LLC,0.71
36DSNE9QZ6B7KEV21PWD2YWZDFLOJ4,A2SQ45EXE0767I,3U18MJKL1UZ08VRR0FACBMOFMDGNCL,Sun Oct 12 16:46:38 GMT 2014,Wed Oct 08 17:16:17 GMT 2014,2014/10/08 18:17:20 +0000,AEE Solar,1000
30OG32W0SVOHRD9YM9L9QTJ2IWYNEF,A3MXBLYX2CDGTP,33J5JKFMK6BXYS80NERSMDFQLBQQ3D,Sun Oct 12 10:51:10 GMT 2014,Tue Oct 07 20:02:22 GMT 2014,2014/10/07 21:07:14 +0000,AEIS,250
