AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,Answer.name,pub,sigmod,vldb,year,pub/year,vldb/year,sigmod/year
32N49TQG3HVR951V8V5E4RNOS6MVAA,AYALPYEQ512PP,37AQKJ12TX1FPPYMJXRE9VUB43LTT7,Sat May 02 02:50:11 PDT 2015,Sat May 02 02:56:05 PDT 2015,2015-05-02 10:57:37 UTC,Bryan Robbins,8,0,0,7,1.142857143,0,0
3WRFBPLXRB1EHFT1XP4D72F50UBN3A,AYALPYEQ512PP,3UEBBGULPF1K6XVAOICZXN1CW8LUFS,Sat May 02 14:51:40 PDT 2015,Sat May 02 14:56:20 PDT 2015,2015-05-02 22:57:38 UTC,Goncalo Simoes,4,0,1,2,2,0.5,0
3EJJQNKU9SIEQLSS5HAWKGLPJSORH6,AYALPYEQ512PP,3EHVO81VN5YOBWVIHKQFP68S1Q0H1D,Wed Apr 29 19:08:42 PDT 2015,Wed Apr 29 19:12:03 PDT 2015,2015-04-30 03:12:36 UTC,Jeremy Hyrkas,3,0,2,3,1,0.666666667,0
3TEM0PF1Q6A9EB3RP88R9Z54JBP0D4,AV3CA0IYNRCCJ,33NOQL7T9OCSDHFXMR514NZ5BMMZ84,Thu Apr 30 08:24:00 PDT 2015,Thu Apr 30 08:28:04 PDT 2015,2015-04-30 16:32:40 UTC,Zhe (Shirley) Chen,6,0,2,4,1.5,0.5,0
3LEIZ60CDKCUD6W0HMGHT2P09VD9Z3,A8L450UGY77XB,3CMV9YRYP3EXS9UCYUBJLYXLCO9JLQ,Wed Apr 29 11:38:16 PDT 2015,Wed Apr 29 11:41:41 PDT 2015,2015-04-29 19:42:38 UTC,Shumo Chu,7,3,0,2,3.5,1.5,1.5
30JNVC0ORAXEEKDSS2LWFQBKN4EHQJ,A8L450UGY77XB,3AXFSPQOYQBBSHKGCJ8LQLS1FSNJFL,Tue Apr 28 11:27:27 PDT 2015,Tue Apr 28 11:38:11 PDT 2015,2015-04-28 19:42:57 UTC,Danai Koutra,29,1,1,5,5.8,0.4,0.2
34YB12FSQZ19T9KPG3WXDHFEZ8FGMI,AYALPYEQ512PP,359AP8GAGGXB5AZ4K8TNFP2PRKV7CR,Fri May 01 19:00:07 PDT 2015,Fri May 01 19:03:31 PDT 2015,2015-05-02 03:07:36 UTC,Hao Li,5,0,0,3,1.666666667,0,0
3RRCEFRB7NPXY2N8UD4NQC7HX3G4B6,AV3CA0IYNRCCJ,33NOQL7T9OCSDHFXMR514NZ5BMN8ZE,Fri May 01 08:35:10 PDT 2015,Fri May 01 08:53:05 PDT 2015,2015-05-01 16:57:36 UTC,Peter Alvaro,15,2,1,5,3,0.6,0.4
3DHE4R9OCXOJM5GW6LDDY81GSYT2GX,A8L450UGY77XB,3A520CCNWND8LAHGN2B2F44ID4EEAI,Tue Apr 28 13:20:57 PDT 2015,Tue Apr 28 13:23:54 PDT 2015,2015-04-28 21:27:36 UTC,Manas Joglekar,15,1,0,4,3.75,0.25,0.25
31UV0MXWNRPPHT5EESFEHRH8SO0I51,ASKDA7P5TIOVT,3ODOP6T3ASX1O5PJLH6A009TORS24T,Thu Apr 30 05:26:58 PDT 2015,Thu Apr 30 05:28:35 PDT 2015,2015-04-30 13:32:38 UTC,Bob West,18,0,0,5,3.6,0,0
